sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa
2.0,74.0,63.0,118.0,3.591258716583252,3.7844738960266113
1.0,74.0,47.0,117.0,1.8872161097824574,3.9817893505096436
2.0,45.0,71.0,82.0,3.967048943042755,0.8740944266319275
1.0,44.0,76.0,143.0,2.9844306826591493,3.930748224258423
1.0,75.0,64.0,69.0,2.1280136853456497,2.1506597995758057
2.0,61.0,70.0,140.0,3.9938071131706243,3.8441147804260254
2.0,37.0,70.0,128.0,3.9669743299484255,3.9988062381744385
1.0,50.0,50.0,64.0,3.9844958186149597,3.93866229057312
1.0,55.0,30.0,53.0,1.8010190369386692,3.2751379013061523
2.0,67.0,57.0,130.0,2.3688935697078706,0.5904510617256165
1.0,73.0,74.0,66.0,3.9906548738479612,3.95719575881958
2.0,59.0,57.0,142.0,3.742404127120972,3.879993438720703
1.0,75.0,43.0,143.0,3.749070262908936,3.8420662879943848
2.0,41.0,35.0,55.0,3.5726194739341737,3.281874418258667
2.0,49.0,60.0,66.0,3.7105279445648196,3.915416717529297
2.0,58.0,77.0,107.0,3.9933393716812136,3.6475958824157715
1.0,75.0,54.0,105.0,3.901141977310181,0.18696178495883942
1.0,61.0,34.0,100.0,3.4130004286766056,0.45555511116981506
2.0,44.0,30.0,53.0,2.2045160055160524,0.6509581208229065
1.0,44.0,65.0,97.0,3.892704272270203,0.7025901079177856
1.0,73.0,71.0,143.0,3.9918722867965704,3.9948832988739014
2.0,58.0,63.0,79.0,3.9005142569541933,3.9231643676757812
2.0,66.0,31.0,117.0,2.3263979047536854,3.9109790325164795
2.0,66.0,54.0,130.0,1.8466823250055313,3.3939151763916016
1.0,53.0,55.0,135.0,2.9281343817710876,3.2312519550323486
2.0,73.0,69.0,112.0,3.922499418258667,3.9859750270843506
1.0,52.0,30.0,53.0,2.936584806442261,0.058942005038261414
1.0,40.0,53.0,119.0,3.687055373191834,3.5612518787384033
1.0,57.0,47.0,130.0,3.5700941681861877,0.0017861542291939259
2.0,73.0,54.0,132.0,2.4522822916507723,0.9300990700721741
1.0,45.0,63.0,78.0,1.8283163433894516,0.29759782552719116
1.0,75.0,54.0,135.0,3.639509522914887,3.9007275104522705
2.0,74.0,70.0,121.0,3.424038577079773,3.983548879623413
1.0,37.0,53.0,128.0,3.857521510124207,1.8807287216186523
2.0,70.0,71.0,96.0,3.990662479400635,0.3208901584148407
1.0,26.0,29.0,53.0,1.8835379481315613,0.4684945046901703
2.0,69.0,72.0,143.0,3.9980028867721558,3.9918112754821777
1.0,74.0,69.0,137.0,3.795445251464844,3.8344264030456543
2.0,71.0,75.0,144.0,3.997325074672699,3.9856109619140625
2.0,75.0,46.0,143.0,2.075346904993057,0.7676577568054199
2.0,75.0,32.0,62.0,3.7789633631706243,1.4459928274154663
1.0,74.0,72.0,143.0,3.880441498756409,0.19450914859771729
1.0,69.0,62.0,89.0,3.3574956297874454,0.04775548353791237
2.0,69.0,39.0,54.0,3.9531983137130737,2.188915729522705
2.0,28.0,74.0,139.0,3.854877531528473,3.999323844909668
1.0,49.0,69.0,94.0,2.6263094663619997,3.8185458183288574
1.0,70.0,73.0,116.0,2.2642906665802003,3.9078853130340576
2.0,71.0,69.0,137.0,3.9849782466888426,3.9820923805236816
2.0,66.0,75.0,110.0,3.98397182226181,1.5938987731933594
2.0,75.0,54.0,135.0,3.975605845451355,1.3789520263671875
2.0,51.0,74.0,109.0,3.9994399428367613,3.8955602645874023
2.0,75.0,61.0,137.0,3.8493657350540165,3.691364288330078
1.0,38.0,72.0,134.0,2.965039145946503,3.8637211322784424
1.0,65.0,66.0,78.0,2.158612921833992,0.2409220188856125
1.0,75.0,72.0,115.0,3.5240631341934208,0.08892679214477539
2.0,63.0,76.0,138.0,3.1787694692611694,3.9898691177368164
1.0,39.0,61.0,144.0,3.9915472149848936,3.99027419090271
1.0,34.0,35.0,55.0,2.004982839524746,0.2650406062602997
1.0,76.0,76.0,130.0,3.9725122213363653,0.34971705079078674
1.0,37.0,33.0,56.0,1.8129389280453325,0.04662621393799782
1.0,74.0,60.0,82.0,3.680228734016419,2.4227919578552246
2.0,75.0,38.0,59.0,3.8443977355957033,0.016690097749233246
2.0,25.0,68.0,143.0,2.9742161631584167,3.999939441680908
1.0,57.0,70.0,75.0,3.785742008686066,2.2324955463409424
2.0,64.0,76.0,129.0,3.997300159931183,3.5684876441955566
2.0,74.0,54.0,120.0,3.4845495343208315,0.19107632339000702
1.0,31.0,31.0,66.0,2.3202604204416275,0.8359985947608948
2.0,35.0,30.0,80.0,3.4394798159599307,0.8293603658676147
1.0,74.0,31.0,55.0,3.958251416683197,3.855889081954956
2.0,49.0,31.0,113.0,3.582918965816498,3.959815502166748
1.0,75.0,59.0,61.0,3.8806136727333067,0.18975085020065308
2.0,60.0,42.0,144.0,3.8637402296066288,3.974214553833008
2.0,36.0,31.0,74.0,3.9451113820075987,1.389577865600586
1.0,76.0,56.0,143.0,3.713756239414215,2.889918088912964
1.0,53.0,70.0,73.0,3.9959126710891724,0.8186876177787781
1.0,60.0,64.0,144.0,3.998454761505127,3.9998936653137207
1.0,44.0,46.0,96.0,3.9740501165390016,0.23255248367786407
1.0,74.0,58.0,139.0,1.858872140944004,0.0082390820607543
1.0,71.0,76.0,63.0,3.743072891235352,0.10850448906421661
2.0,28.0,29.0,53.0,1.8070784619543703,1.6322678327560425
1.0,32.0,50.0,63.0,1.9810567542910578,0.05228981003165245
1.0,31.0,31.0,53.0,1.848218445852399,0.4775242805480957
2.0,41.0,29.0,68.0,1.8935612715780736,3.9947426319122314
2.0,32.0,73.0,141.0,3.9995396018028258,3.9947330951690674
2.0,74.0,72.0,144.0,3.9212566971778875,3.9903621673583984
2.0,75.0,76.0,109.0,3.4494733810424805,3.979214906692505
1.0,74.0,66.0,143.0,2.2399968266487122,3.069175958633423
2.0,45.0,31.0,95.0,2.2753523528575896,3.9564085006713867
2.0,38.0,29.0,68.0,1.8172000803053379,3.4726791381835938
2.0,45.0,31.0,53.0,2.399960219860077,3.9467384815216064
1.0,74.0,65.0,95.0,2.2249584197998047,2.675708293914795
1.0,63.0,72.0,143.0,3.988854849338532,3.5063626766204834
1.0,74.0,62.0,140.0,3.923406708240509,0.17674385011196136
1.0,44.0,65.0,129.0,2.1061325430870057,3.9874746799468994
1.0,63.0,34.0,73.0,3.7770779728889465,0.9641342163085938
1.0,67.0,37.0,133.0,3.8184600472450256,3.99828839302063
2.0,72.0,66.0,115.0,2.1627462774515154,3.999462604522705
1.0,74.0,75.0,71.0,3.79797226190567,0.00897991843521595
1.0,57.0,35.0,131.0,3.9824970006942753,3.6948742866516113
2.0,55.0,64.0,143.0,3.9953594326972963,3.951502799987793
2.0,62.0,77.0,99.0,3.9912485003471376,3.9896960258483887
2.0,72.0,77.0,143.0,3.9992092847824097,3.951234817504883
2.0,75.0,72.0,80.0,3.9851825475692753,3.6618564128875732
1.0,71.0,67.0,143.0,2.75561940073967,1.5676043033599854
2.0,30.0,37.0,64.0,3.308596909046173,3.73502516746521
1.0,69.0,75.0,140.0,2.0486353516578677,0.4825911521911621
1.0,69.0,72.0,142.0,3.9054305911064153,0.0005376262124627829
2.0,28.0,30.0,58.0,3.3882139325141907,3.734851360321045
1.0,26.0,31.0,53.0,3.7378823637962344,0.07792561501264572
1.0,75.0,77.0,144.0,3.99972620010376,3.896307945251465
1.0,75.0,40.0,69.0,3.977159869670868,0.13495971262454987
1.0,35.0,45.0,78.0,1.804716752935201,3.9391930103302
1.0,75.0,55.0,133.0,3.827829039096833,3.5310263633728027
1.0,31.0,32.0,87.0,1.989433090388775,2.662705898284912
2.0,55.0,46.0,121.0,3.953582918643952,3.999300718307495
1.0,62.0,75.0,140.0,3.7711178421974187,1.3215060234069824
1.0,70.0,69.0,142.0,2.0041168719530105,3.093463897705078
1.0,26.0,33.0,95.0,1.8051750832702964,0.47566381096839905
2.0,75.0,75.0,140.0,3.735251891613007,3.9737086296081543
1.0,54.0,58.0,126.0,2.583547180891037,3.536771059036255
2.0,43.0,49.0,54.0,2.2724745690822603,0.07308952510356903
1.0,67.0,63.0,102.0,3.5673978686332704,3.743328809738159
1.0,73.0,77.0,143.0,3.9994176506996153,3.891523599624634
2.0,65.0,36.0,92.0,3.844731855392456,0.2423115223646164
1.0,54.0,74.0,135.0,3.8413345336914064,0.6381844282150269
1.0,74.0,74.0,141.0,3.898459184169769,3.977423906326294
2.0,68.0,46.0,123.0,3.9984126687049866,0.20891399681568146
1.0,35.0,41.0,57.0,3.861066222190857,0.6095723509788513
2.0,44.0,38.0,58.0,3.3781668663024904,1.320230484008789
1.0,67.0,77.0,142.0,3.979666292667389,3.282362699508667
1.0,71.0,75.0,83.0,2.321384140849114,0.4371017813682556
1.0,39.0,52.0,123.0,3.901855850219727,3.9884321689605713
2.0,41.0,30.0,105.0,2.0172026842832564,3.9920620918273926
2.0,46.0,50.0,105.0,3.302853798866272,3.8598575592041016
2.0,29.0,69.0,133.0,3.9361612200737,3.9976115226745605
2.0,75.0,53.0,56.0,3.993467617034912,1.7772181034088135
2.0,29.0,39.0,62.0,3.888062000274658,3.9548962116241455
1.0,46.0,60.0,90.0,3.412138378620148,1.4822839498519897
2.0,75.0,71.0,136.0,3.641527879238129,3.849130392074585
2.0,59.0,32.0,101.0,3.969409549236298,3.998581886291504
2.0,75.0,58.0,65.0,3.1849327206611635,3.7257015705108643
2.0,39.0,30.0,128.0,3.8827344417572025,3.824131965637207
1.0,70.0,32.0,53.0,1.8202623089775443,0.46217069029808044
2.0,60.0,50.0,135.0,3.7917776703834534,3.983647346496582
1.0,31.0,49.0,94.0,1.9221464052796364,9.438920187676558e-07
1.0,57.0,74.0,104.0,3.981576073169708,3.9762485027313232
2.0,41.0,31.0,56.0,3.985846984386444,0.6179131865501404
2.0,51.0,70.0,89.0,3.9631618499755863,3.9805381298065186
1.0,63.0,72.0,144.0,3.98897784948349,3.964404344558716
2.0,62.0,69.0,115.0,3.998958563804627,3.9871435165405273
2.0,66.0,42.0,109.0,3.9997991085052496,3.9033238887786865
1.0,69.0,42.0,64.0,3.0341029405593876,0.47135674953460693
2.0,76.0,53.0,86.0,3.852450048923493,0.07890172302722931
2.0,62.0,71.0,144.0,3.9868016123771666,3.945713758468628
1.0,72.0,71.0,144.0,3.5471753597259523,3.9760525226593018
1.0,76.0,71.0,144.0,3.7229950189590455,3.7889955043792725
2.0,75.0,49.0,95.0,2.729682105779648,2.985729217529297
1.0,66.0,72.0,92.0,3.983419895172119,3.7094368934631348
2.0,27.0,33.0,56.0,3.139963185787201,3.0738377571105957
2.0,70.0,75.0,119.0,3.9993042230606077,3.959418535232544
2.0,46.0,48.0,59.0,2.6490033864974976,0.12744159996509552
2.0,51.0,48.0,66.0,3.9360199928283697,3.796241044998169
2.0,57.0,77.0,142.0,3.998661684989929,0.187031090259552
2.0,29.0,30.0,53.0,2.597958129644394,1.2105655670166016
1.0,66.0,52.0,76.0,2.0856544941663744,3.562431573867798
2.0,71.0,32.0,69.0,3.7962484240531924,3.9993786811828613
1.0,75.0,76.0,144.0,3.981645178794861,3.998868703842163
1.0,74.0,64.0,144.0,3.159772503376007,2.8961944580078125
1.0,42.0,67.0,144.0,3.9831202626228333,3.9998345375061035
2.0,45.0,35.0,59.0,3.371576261520386,3.993823528289795
1.0,26.0,29.0,53.0,1.8080592934507878,1.9205814599990845
1.0,71.0,77.0,143.0,3.9988464474678045,3.803334951400757
2.0,31.0,48.0,143.0,3.9978094696998596,3.9993677139282227
2.0,72.0,77.0,135.0,3.6004685163497925,3.1389148235321045
1.0,75.0,75.0,143.0,3.999928665161133,3.9834935665130615
1.0,75.0,73.0,136.0,3.9973766088485716,0.04228227213025093
2.0,65.0,48.0,57.0,3.5062442421913147,1.969826579093933
1.0,53.0,42.0,54.0,2.6857040464878086,2.5930871963500977
2.0,55.0,41.0,57.0,1.891009518504143,1.7434576749801636
1.0,74.0,59.0,142.0,3.8397359251976013,2.464891195297241
2.0,72.0,64.0,103.0,3.797980654239655,3.952401638031006
1.0,35.0,38.0,90.0,3.881783223152161,3.9931111335754395
2.0,57.0,35.0,121.0,3.8936648011207584,3.994241952896118
2.0,40.0,76.0,116.0,3.994706404209137,2.767469882965088
1.0,72.0,77.0,144.0,3.9989580392837523,2.778322696685791
2.0,75.0,67.0,135.0,3.656424927711487,2.9880800247192383
2.0,46.0,76.0,126.0,3.957643234729767,3.997917413711548
1.0,49.0,47.0,110.0,2.3971409857273103,2.1107418537139893
2.0,36.0,68.0,55.0,3.1044990181922913,3.9066591262817383
1.0,74.0,76.0,139.0,3.9972753763198856,3.4137628078460693
1.0,62.0,54.0,139.0,3.753241777420044,3.681652307510376
2.0,31.0,30.0,58.0,1.8153146849013866,2.7575244903564453
1.0,52.0,48.0,94.0,2.6205198705196384,0.02806289680302143
1.0,70.0,76.0,144.0,3.1765106201171878,3.9420242309570312
1.0,63.0,74.0,116.0,3.9344624280929565,0.2991403639316559
2.0,66.0,76.0,140.0,3.2542760848999026,3.905452251434326
